Year,Month,Day,Temperature_Max,Temperature_Avg,Temperature_Min,Dew_Point_Max,Dew_Point_Avg,Dew_Point_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Speed_Max,Wind_Speed_Avg,Wind_Speed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Total
2010,1,21,70,68.2,66,70,56.2,0,100,80.7,0,7,3.0,0,30.0,30.0,29.9,0.00
2010,1,22,70,65.6,59,70,64.8,57,100,97.5,88,18,8.4,0,30.1,26.9,0.0,0.00
2010,1,23,61,57.6,55,55,54.6,54,94,89.6,82,14,9.5,6,30.2,29.5,0.0,0.00
2010,1,24,64,60.4,57,59,55.9,52,88,84.9,77,9,5.7,0,30.2,30.1,30.0,0.00
2010,1,25,66,63.1,61,61,58.8,55,100,86.9,68,13,5.1,0,30.2,30.1,30.1,0.00
2010,1,26,63,62.0,59,59,54.6,52,88,77.2,68,9,6.1,0,30.3,30.2,30.1,0.00
2010,1,27,68,62.3,57,63,56.4,0,100,84.1,0,10,3.1,0,30.1,30.0,29.9,0.00
2010,1,28,70,66.0,63,66,61.2,0,100,89.1,0,6,3.1,0,30.1,30.0,29.9,0.00
2010,1,29,75,68.1,0,68,64.9,0,100,88.3,0,8,5.8,1,30.1,29.4,0.0,0.00
2010,1,30,81,73.0,68,70,68.1,66,100,85.6,65,15,8.8,3,30.0,29.9,29.8,0.00
2010,1,31,82,75.2,70,72,70.1,68,100,84.5,62,13,8.2,3,30.0,29.9,29.8,0.00
2010,2,1,81,75.1,72,72,70.1,68,94,84.5,70,15,9.5,5,29.9,29.9,29.8,0.00
2010,2,2,81,75.2,72,72,70.4,68,94,85.3,65,16,9.6,6,29.9,29.8,29.8,0.00
2010,2,3,84,76.0,73,72,72.0,70,94,86.0,66,17,10.8,7,29.9,29.9,29.8,0.00
2010,2,4,82,75.8,73,73,71.8,70,94,86.2,70,17,12.2,8,29.9,29.9,29.8,0.00
2010,2,5,77,73.7,72,72,69.7,0,100,89.0,0,16,11.6,8,29.9,29.9,29.8,0.00
2010,2,6,84,76.9,73,75,72.8,72,100,87.5,70,18,9.8,2,29.9,29.9,29.8,0.00
2010,2,7,86,77.8,73,73,72.2,70,100,83.8,62,13,9.4,5,29.9,29.9,29.8,0.00
2010,2,8,86,78.3,73,73,72.3,70,94,81.8,62,16,11.4,6,29.9,29.8,29.7,0.00
2010,2,9,86,78.0,73,75,72.7,72,94,83.8,66,17,10.8,5,29.8,29.8,29.7,0.00
2010,2,10,91,79.2,72,75,71.4,64,100,79.2,41,16,9.6,5,29.8,29.7,29.6,0.00
2010,2,11,90,77.2,0,75,70.6,0,100,80.1,0,14,8.8,6,29.9,29.8,29.7,0.00
2010,2,12,75,67.9,63,73,57.8,48,94,70.5,59,22,14.7,9,30.1,30.0,29.8,0.00
2010,2,13,63,58.2,55,55,51.6,46,100,79.6,63,14,10.3,7,30.1,30.0,29.9,0.00
2010,2,14,61,58.0,55,57,55.2,0,100,93.3,0,12,7.9,3,30.0,29.9,29.9,0.00
2010,2,15,61,57.1,55,55,51.2,50,100,80.4,68,14,10.8,9,30.2,30.0,29.9,0.00
2010,2,16,59,56.1,52,52,47.6,45,94,74.5,63,14,9.0,0,30.2,30.1,30.0,0.00
2010,2,17,57,55.0,54,52,47.3,43,94,75.1,59,15,7.6,0,30.3,30.2,30.1,0.00
2010,2,18,59,55.6,52,52,42.4,37,88,61.2,45,13,5.6,0,30.3,30.2,30.2,0.00
2010,2,19,61,56.1,50,50,46.4,43,88,70.6,59,10,6.2,3,30.3,30.2,30.1,0.00
2010,2,20,64,59.9,57,55,49.8,46,82,69.8,52,9,6.0,3,30.2,30.1,30.0,0.00
2010,2,21,63,60.6,59,59,56.0,55,100,86.3,77,9,5.0,1,30.0,29.9,29.9,0.00
2010,2,22,70,63.8,59,61,59.2,57,100,85.8,68,8,4.1,0,30.0,29.9,29.9,0.00
2010,2,23,68,65.4,63,64,62.9,61,100,91.0,83,7,1.6,0,29.9,29.9,29.8,0.00
2010,2,24,79,70.9,66,72,67.6,64,100,89.7,69,12,5.8,0,29.8,29.7,29.6,0.00
2010,2,25,90,76.4,68,72,66.3,0,100,77.1,0,8,4.6,0,29.8,29.7,29.6,0.00
2010,2,26,93,77.7,66,72,66.8,57,94,73.0,31,9,6.2,0,29.8,29.7,29.6,0.00
2010,2,27,88,74.6,0,75,68.9,0,100,80.7,0,15,8.9,0,29.8,29.7,29.6,0.00
2010,2,28,82,76.6,73,73,72.0,70,94,85.7,74,15,10.3,6,29.9,29.8,29.7,0.00
2010,3,1,82,76.5,73,75,73.1,73,100,90.4,74,13,9.3,7,29.9,29.8,29.7,0.00
2010,3,2,86,77.8,73,77,73.2,72,94,86.3,70,15,10.1,6,29.8,29.7,29.6,0.00
2010,3,3,88,78.3,73,77,73.1,72,94,84.2,66,15,9.3,5,29.8,29.7,29.6,0.00
2010,3,4,84,77.8,75,73,72.6,72,94,84.7,70,16,10.4,6,29.8,29.7,29.6,0.00
2010,3,5,86,78.5,73,75,73.0,72,94,83.7,66,15,9.2,5,29.7,29.6,29.5,0.00
2010,3,6,88,76.7,0,75,71.0,0,94,80.9,0,17,9.4,0,29.8,29.1,0.0,0.00
2010,3,7,73,68.8,66,66,60.1,57,94,74.3,64,16,11.3,5,30.0,29.9,29.8,0.00
2010,3,8,64,62.8,61,64,59.1,52,100,87.9,72,17,11.5,6,30.1,30.0,29.9,0.00
2010,3,9,63,60.1,0,50,44.7,0,68,55.8,0,18,8.1,3,30.4,29.6,0.0,0.00
2010,3,10,61,58.8,57,46,40.1,36,63,50.8,39,8,5.4,2,30.4,30.3,30.3,0.00
2010,3,11,66,60.9,57,52,43.2,36,77,53.5,32,9,5.5,2,30.3,30.2,30.0,0.00
2010,3,12,70,62.3,55,61,55.6,50,88,78.3,64,12,7.5,3,30.1,30.0,29.9,0.00
2010,3,13,70,67.2,64,68,65.6,63,100,95.2,88,7,4.5,0,29.9,29.8,29.8,0.00
2010,3,14,77,71.8,68,73,62.8,0,100,84.3,0,8,4.2,0,29.8,29.8,29.7,0.00
2010,3,15,79,74.2,72,73,72.5,72,100,94.3,83,10,4.3,0,30.0,28.6,0.0,0.00
2010,3,16,73,67.6,64,72,62.8,57,100,84.0,68,20,8.7,0,30.2,30.1,29.9,0.00
2010,3,17,73,66.5,0,66,60.1,0,88,77.9,0,8,4.6,0,30.2,29.5,0.0,0.00
2010,3,18,77,69.8,0,68,64.8,0,94,83.1,0,9,4.8,0,30.2,29.5,0.0,0.00
2010,3,19,77,70.5,66,70,67.1,66,100,89.7,73,14,7.9,3,30.0,29.9,29.8,0.00
2010,3,20,79,73.1,68,72,69.5,66,100,88.2,74,14,7.4,1,29.9,29.8,29.8,0.00
2010,3,21,73,70.8,0,72,67.5,0,100,89.6,0,9,5.7,0,29.9,29.9,29.8,0.00
2010,3,22,81,73.3,0,73,66.0,0,100,83.0,0,17,10.7,7,29.8,29.7,29.7,0.00
2010,3,23,84,76.7,73,75,73.7,73,100,91.3,74,16,10.7,7,29.8,29.1,0.0,0.00
2010,3,24,82,77.7,70,75,73.6,63,94,88.3,78,23,10.4,5,29.9,29.7,29.6,0.00
2010,3,25,75,70.2,68,59,49.5,45,73,48.5,38,24,11.8,5,30.2,30.1,29.9,0.00
2010,3,26,72,66.8,63,54,47.1,39,72,50.4,33,14,7.0,2,30.2,30.1,30.0,0.00
2010,3,27,75,65.7,0,61,54.5,0,88,67.3,0,9,5.8,1,30.2,29.5,0.0,0.00
2010,3,28,75,69.5,64,63,60.7,57,94,73.9,53,12,4.3,0,30.1,30.1,29.9,0.00
2010,3,29,79,69.3,0,66,60.8,0,94,71.4,0,18,7.9,0,30.1,28.7,0.0,0.00
2010,3,30,77,71.8,68,72,68.5,66,100,89.2,78,14,9.8,6,30.0,29.9,29.8,0.00
2010,3,31,81,73.9,70,72,70.1,68,94,87.3,74,15,8.8,1,29.9,29.9,29.8,0.00
2010,4,1,82,76.3,73,75,73.2,72,100,90.2,79,14,8.5,2,29.9,29.8,29.7,0.00
2010,4,2,75,71.5,66,73,69.1,64,100,92.5,78,16,10.1,5,29.9,29.9,29.8,0.00
2010,4,3,70,65.4,0,66,58.0,0,100,84.1,0,10,7.2,3,30.0,29.3,0.0,0.00
2010,4,4,72,69.6,66,70,68.6,66,100,97.0,94,7,3.2,0,29.9,29.8,29.7,0.00
2010,4,5,81,74.7,72,75,68.3,0,100,88.5,0,10,5.7,0,29.8,29.7,29.6,0.00
2010,4,6,81,75.3,0,77,72.3,0,100,91.8,0,12,6.3,0,29.9,29.1,0.0,0.00
2010,4,7,77,72.3,70,75,66.8,0,100,88.5,0,17,8.7,2,30.0,29.9,29.8,0.00
2010,4,8,79,72.1,68,68,64.9,61,94,79.6,57,17,8.0,2,30.0,29.9,29.8,0.00
2010,4,9,73,70.6,68,70,66.8,64,100,88.3,78,14,8.8,2,29.9,29.8,29.6,0.00
2010,4,10,77,73.5,70,75,71.6,70,100,93.5,83,10,4.7,0,29.8,29.6,29.5,0.00
2010,4,11,84,78.1,75,77,72.2,0,100,87.5,0,13,6.6,0,29.7,29.6,29.5,0.00
2010,4,12,86,79.7,77,77,75.3,75,94,87.3,70,15,8.4,2,29.7,29.6,29.5,0.00
2010,4,13,84,80.0,77,77,75.5,75,94,87.2,79,14,9.3,5,29.8,29.7,29.7,0.00
2010,4,14,77,75.6,72,77,72.7,0,100,93.3,0,13,6.8,0,29.9,29.8,29.8,0.00
2010,4,15,77,63.9,59,75,59.8,55,100,87.5,77,24,12.5,1,30.1,30.0,29.9,0.00
2010,4,16,64,62.7,61,61,56.5,55,94,81.3,73,10,6.2,0,30.2,30.1,29.9,0.00
2010,4,17,68,64.6,61,64,62.1,59,100,91.4,83,10,5.2,0,30.1,30.0,29.9,0.00
2010,4,18,77,68.8,0,70,62.6,0,100,83.7,0,10,5.5,0,30.0,29.3,0.0,0.00
2010,4,19,86,76.6,70,75,66.0,0,100,77.8,0,15,9.7,2,29.8,29.7,29.6,0.00
2010,4,20,90,79.0,0,77,72.7,0,100,80.8,0,15,9.8,0,29.7,29.6,29.5,0.00
2010,4,21,90,80.3,72,79,74.9,70,94,84.5,66,15,9.5,3,29.8,29.6,29.5,0.00
2010,4,22,88,78.2,72,77,71.0,63,100,79.3,58,17,11.0,0,29.9,29.8,29.6,0.00
2010,4,23,79,71.0,66,66,61.9,55,94,74.5,57,14,9.0,1,30.1,29.4,0.0,0.00
2010,4,24,79,72.1,66,68,65.1,63,94,80.0,61,12,6.4,0,30.1,30.0,29.9,0.00
2010,4,25,81,75.0,70,73,70.5,68,94,86.3,74,13,8.3,3,29.9,29.9,29.8,0.00
2010,4,26,82,73.6,0,75,66.9,0,100,80.1,0,23,8.0,0,30.0,29.9,29.9,0.00
2010,4,27,82,74.7,68,68,64.0,61,94,70.3,51,10,5.7,0,30.0,30.0,29.9,0.00
2010,4,28,81,74.9,70,73,67.8,63,94,79.2,65,12,6.1,0,29.9,29.9,29.8,0.00
2010,4,29,86,77.8,72,73,71.7,70,100,81.8,58,12,4.9,0,29.9,29.9,29.8,0.00
2010,4,30,81,76.5,75,73,72.6,72,94,87.8,79,14,6.9,0,30.0,29.9,29.8,0.00
2010,5,1,79,75.5,73,73,72.2,70,94,88.7,78,13,7.0,0,30.0,29.9,29.8,0.00
2010,5,2,79,74.5,73,73,69.8,0,100,90.9,0,8,5.6,0,29.9,29.9,29.8,0.00
2010,5,3,86,78.5,73,77,73.9,73,100,87.0,70,18,11.0,5,29.8,29.8,29.7,0.00
2010,5,4,88,81.6,77,79,75.9,73,94,83.8,70,18,14.1,8,29.7,29.6,29.5,0.00
2010,5,5,90,82.3,77,81,77.4,75,94,85.7,70,14,9.5,5,29.6,29.5,29.5,0.00
2010,5,6,93,84.3,79,82,78.7,77,94,83.8,63,12,8.1,6,29.7,29.6,29.5,0.00
2010,5,7,90,84.2,81,79,78.9,77,94,84.0,70,13,9.0,5,29.7,29.6,29.5,0.00
2010,5,8,91,82.7,0,81,77.9,0,94,83.5,0,17,10.0,5,29.7,29.0,0.0,0.00
2010,5,9,95,85.8,81,82,79.7,77,94,82.2,59,16,8.5,1,29.6,29.6,29.4,0.00
2010,5,10,82,78.2,73,79,73.5,72,100,85.8,70,16,9.7,0,29.8,29.7,29.6,0.00
2010,5,11,79,76.2,73,73,71.2,70,94,83.3,74,12,6.1,1,29.9,29.2,0.0,0.00
2010,5,12,90,80.9,75,79,75.6,73,94,84.8,70,15,7.0,0,29.8,29.1,0.0,0.00
2010,5,13,91,83.8,79,79,78.3,77,94,83.8,66,17,11.8,7,29.8,29.7,29.6,0.00
2010,5,14,91,84.9,81,82,80.0,79,100,85.2,71,15,10.2,3,29.7,29.6,29.5,0.00
2010,5,15,82,79.9,75,79,76.0,73,94,88.3,74,15,9.0,1,29.8,29.1,0.0,0.00
2010,5,16,93,82.4,0,81,77.0,0,94,81.8,0,17,10.8,3,29.8,29.1,0.0,0.00
2010,5,17,93,83.8,0,82,78.9,0,100,82.5,0,15,10.4,6,29.8,29.1,0.0,0.00
2010,5,18,91,85.3,81,82,80.3,79,94,84.1,66,18,10.4,0,29.8,29.1,0.0,0.00
2010,5,19,99,87.4,79,82,79.7,75,94,78.9,53,14,9.2,5,29.7,29.6,29.5,0.00
2010,5,20,97,87.9,81,84,79.7,77,89,77.3,56,15,10.0,7,29.7,29.6,29.5,0.00
2010,5,21,102,87.2,79,82,77.3,70,94,76.3,35,25,8.1,3,29.7,29.6,29.5,0.00
2010,5,22,99,84.6,79,81,77.9,77,94,82.1,50,9,6.7,3,29.6,29.5,29.5,0.00
2010,5,23,86,80.7,75,81,73.8,70,89,79.8,66,15,7.3,0,29.7,29.6,29.5,0.00
2010,5,24,88,80.7,77,77,72.6,63,100,78.7,43,7,4.1,0,29.8,29.7,29.6,0.00
2010,5,25,88,81.8,79,79,76.2,75,94,83.4,70,10,6.8,0,29.7,29.7,29.6,0.00
2010,5,26,91,83.5,79,81,77.7,0,100,86.1,0,20,9.3,3,29.7,29.0,0.0,0.00
2010,5,27,90,81.4,0,82,78.3,0,100,88.3,0,13,8.2,3,29.7,27.8,0.0,0.00
2010,5,28,93,85.2,81,81,77.9,75,94,79.6,59,17,6.5,1,29.7,29.6,29.5,0.00
2010,5,29,86,80.7,75,79,75.8,73,100,85.8,70,14,7.8,2,29.8,29.1,0.0,0.00
2010,5,30,88,82.2,77,81,77.6,75,94,86.2,75,12,7.0,3,29.8,28.4,0.0,0.00
2010,5,31,95,85.2,77,82,79.1,73,94,82.8,63,16,7.7,1,29.7,26.5,0.0,0.00
2010,6,1,99,87.3,79,82,79.2,73,100,78.2,53,22,7.5,1,29.6,29.6,29.4,0.00
2010,6,2,86,80.9,79,77,73.3,70,94,78.2,62,18,8.3,1,29.8,29.1,0.0,0.00
2010,6,3,88,80.9,75,72,68.8,64,89,67.5,48,13,5.7,0,29.9,29.8,29.8,0.00
2010,6,4,88,82.5,77,73,70.0,66,83,66.5,49,10,3.7,0,29.9,29.8,29.7,0.00
2010,6,5,88,82.2,75,75,72.7,72,94,74.0,58,13,7.7,5,29.8,29.7,29.7,0.00
2010,6,6,86,80.6,0,79,74.3,0,94,79.8,0,15,9.0,5,29.8,29.7,29.6,0.00
2010,6,7,91,81.0,75,81,77.3,73,100,89.2,66,20,9.2,0,29.7,29.7,29.6,0.00
2010,6,8,97,86.8,77,82,80.2,75,100,81.5,56,15,8.6,3,29.7,29.6,29.5,0.00
2010,6,9,95,87.7,82,82,80.4,75,94,79.0,56,14,7.0,3,29.7,29.6,29.5,0.00
2010,6,10,95,87.4,79,82,80.0,77,94,78.5,63,17,8.4,2,29.7,28.4,0.0,0.00
2010,6,11,90,83.3,77,82,77.7,75,100,84.0,70,16,7.8,2,29.8,28.4,0.0,0.00
2010,6,12,91,83.9,77,82,78.7,75,94,84.9,66,20,8.8,5,29.8,29.7,29.6,0.00
2010,6,13,97,86.5,77,82,78.6,75,100,78.3,56,10,6.5,0,29.7,29.0,0.0,0.00
2010,6,14,99,89.9,81,81,77.9,73,89,69.1,44,10,7.0,1,29.7,29.6,29.5,0.00
2010,6,15,97,89.1,84,84,81.4,79,94,78.5,59,9,6.6,2,29.6,29.6,29.5,0.00
2010,6,16,102,92.1,84,82,79.1,73,94,68.4,40,14,8.4,5,29.6,29.6,29.5,0.00
2010,6,17,102,92.2,84,82,78.7,72,94,66.8,37,15,7.6,2,29.6,29.0,0.0,0.00
2010,6,18,99,91.4,84,84,81.0,77,94,73.1,50,14,8.9,2,29.7,29.6,29.5,0.00
2010,6,19,102,90.5,0,84,79.2,0,94,69.1,0,16,9.0,3,29.6,29.0,0.0,0.00
2010,6,20,93,87.7,75,82,80.0,72,100,78.3,66,18,11.0,2,29.7,25.9,0.0,0.00
2010,6,21,86,80.5,75,79,77.1,75,100,89.3,74,8,4.9,0,29.8,28.5,0.0,0.00
2010,6,22,88,82.3,77,81,78.9,75,100,89.0,75,14,7.2,2,29.8,29.7,29.6,0.00
2010,6,23,93,85.7,81,82,79.9,77,100,83.0,63,16,9.1,3,29.7,29.6,29.5,0.00
2010,6,24,97,85.5,0,82,76.1,0,100,71.3,0,14,7.4,5,29.6,28.3,0.0,0.00
2010,6,25,93,86.0,0,82,79.2,0,94,78.0,0,16,9.1,3,29.6,26.4,0.0,0.00
2010,6,26,88,84.3,79,82,80.2,77,94,87.2,79,10,8.1,6,29.6,28.3,0.0,0.00
2010,6,27,99,89.4,82,84,81.0,77,94,77.1,50,16,8.3,2,29.6,29.5,29.4,0.00
2010,6,28,95,87.8,82,82,80.1,73,94,78.2,59,16,9.9,5,29.6,28.9,0.0,0.00
2010,6,29,93,81.7,0,82,75.6,0,100,83.2,0,15,8.0,2,29.7,27.7,0.0,0.00
2010,6,30,90,84.3,79,82,79.6,77,94,86.1,74,16,8.1,0,29.7,29.0,0.0,0.00
2010,7,1,93,86.1,81,82,80.5,77,100,83.3,67,16,9.2,0,29.7,29.7,29.6,0.00
2010,7,2,95,87.7,82,82,80.1,77,94,78.2,59,16,9.6,6,29.7,29.7,29.6,0.00
2010,7,3,97,88.7,82,81,80.0,77,94,75.8,53,18,8.2,3,29.7,29.7,29.6,0.00
2010,7,4,100,89.2,0,81,76.2,0,94,65.6,0,13,7.7,2,29.8,29.1,0.0,0.00
2010,7,5,102,92.5,82,81,76.3,70,94,61.9,35,14,7.4,0,29.7,29.6,29.5,0.00
2010,7,6,100,91.5,84,82,78.3,72,89,66.7,42,18,6.6,2,29.7,29.6,29.5,0.00
2010,7,7,102,90.5,0,82,76.9,0,94,64.6,0,15,7.8,3,29.7,29.0,0.0,0.00
2010,7,8,99,90.8,84,82,79.8,72,89,71.1,53,18,9.1,5,29.7,29.6,29.5,0.00
2010,7,9,100,91.0,84,82,79.3,73,89,70.0,42,17,9.8,5,29.7,29.6,29.5,0.00
2010,7,10,100,91.1,84,82,78.7,73,89,68.5,42,17,9.7,3,29.7,28.4,0.0,0.00
2010,7,11,99,86.7,75,82,79.0,75,100,78.9,50,17,7.8,3,29.7,27.2,0.0,0.00
2010,7,12,97,86.3,73,82,77.9,0,100,79.2,0,23,9.5,2,29.7,29.0,0.0,0.00
2010,7,13,82,79.0,73,79,76.5,73,100,92.5,84,20,6.2,0,29.7,29.7,29.6,0.00
2010,7,14,93,85.7,79,81,76.8,0,100,78.6,0,12,4.8,0,29.8,29.1,0.0,0.00
2010,7,15,93,87.9,82,81,79.2,75,94,75.7,56,9,5.7,0,29.7,29.7,29.6,0.00
2010,7,16,95,86.7,81,81,78.9,75,94,78.0,56,17,4.5,0,29.7,28.4,0.0,0.00
2010,7,17,90,83.2,77,79,74.6,73,94,76.9,59,25,13.3,2,29.6,29.5,29.4,0.00
2010,7,18,90,82.4,77,79,77.0,75,100,84.4,66,25,13.9,6,29.7,29.6,29.4,0.00
2010,7,19,93,85.4,81,81,78.2,75,94,79.2,56,13,9.1,5,29.7,29.7,29.6,0.00
2010,7,20,95,87.1,82,82,79.3,73,94,78.7,49,15,7.6,0,29.7,29.7,29.6,0.00
2010,7,21,88,82.7,77,82,79.9,75,100,91.2,84,13,7.3,2,29.7,29.0,0.0,0.00
2010,7,22,86,81.1,77,81,71.7,0,100,84.0,0,12,6.5,2,29.7,29.6,29.5,0.00
2010,7,23,90,84.2,79,81,78.7,77,100,84.2,66,13,7.8,5,29.6,28.9,0.0,0.00
2010,7,24,86,82.9,81,82,79.0,77,94,87.4,79,15,8.7,5,29.7,27.1,0.0,0.00
2010,7,25,84,81.3,77,81,79.6,77,100,93.9,89,10,6.4,3,29.8,26.3,0.0,0.00
2010,7,26,93,84.9,79,81,78.4,77,100,81.6,59,18,5.5,0,29.8,29.1,0.0,0.00
2010,7,27,93,83.4,77,81,79.5,75,100,88.2,63,22,4.1,0,29.7,29.7,29.6,0.00
2010,7,28,90,85.1,81,81,79.0,75,94,82.7,62,12,8.1,5,29.7,28.4,0.0,0.00
2010,7,29,93,86.2,75,82,80.2,75,100,81.9,63,22,7.5,5,29.8,29.0,0.0,0.00
2010,7,30,93,84.2,77,82,78.1,75,94,82.3,66,12,6.5,1,29.7,29.6,29.5,0.00
2010,7,31,97,88.4,82,82,79.8,73,94,76.7,47,16,6.6,2,29.7,29.6,29.5,0.00
2010,8,1,91,85.9,81,82,76.3,0,94,78.3,0,15,9.0,6,29.8,29.7,29.6,0.00
2010,8,2,91,84.3,77,81,79.0,75,100,84.5,62,15,5.7,1,29.8,27.9,0.0,0.00
2010,8,3,91,84.1,79,81,79.0,77,100,84.5,66,13,6.0,1,29.8,26.6,0.0,0.00
2010,8,4,90,84.2,79,81,76.9,0,100,81.7,0,13,7.0,2,29.7,28.4,0.0,0.00
2010,8,5,91,80.5,0,79,70.2,0,100,78.1,0,17,5.9,1,29.8,28.4,0.0,0.00
2010,8,6,93,84.0,79,81,77.6,73,100,82.1,59,12,5.0,0,29.8,29.7,29.6,0.00
2010,8,7,93,84.0,79,81,77.4,73,100,82.0,52,14,5.2,0,29.7,29.0,0.0,0.00
2010,8,8,91,84.4,79,81,77.5,75,94,80.6,59,8,4.5,0,29.7,29.6,29.5,0.00
2010,8,9,91,83.1,81,81,79.2,77,94,88.2,63,8,4.1,0,29.6,29.6,29.5,0.00
2010,8,10,90,83.2,79,81,78.6,77,100,86.3,70,13,4.4,0,29.7,29.0,0.0,0.00
2010,8,11,90,80.1,0,81,76.3,0,100,84.1,0,13,7.7,2,29.8,26.6,0.0,0.00
2010,8,12,84,81.3,77,81,79.0,77,100,92.8,79,12,5.8,2,29.8,29.1,0.0,0.00
2010,8,13,91,84.3,79,81,79.6,77,100,85.8,66,15,7.2,1,29.8,29.7,29.6,0.00
2010,8,14,93,85.6,81,81,80.5,79,100,84.5,66,14,8.1,5,29.8,29.7,29.6,0.00
2010,8,15,93,85.3,81,82,79.7,75,100,83.5,59,12,6.1,1,29.8,29.7,29.7,0.00
2010,8,16,90,83.0,77,81,76.3,0,100,83.6,0,15,7.2,3,29.8,29.7,29.6,0.00
2010,8,17,86,81.0,77,79,77.2,75,100,88.7,74,12,7.5,1,29.8,29.1,0.0,0.00
2010,8,18,84,80.9,79,79,78.6,77,100,92.9,84,15,8.7,3,29.8,29.8,29.7,0.00
2010,8,19,91,84.2,77,81,78.5,77,100,83.6,63,10,6.8,2,29.9,29.8,29.8,0.00
2010,8,20,93,84.3,79,79,78.3,75,100,82.5,56,15,5.1,0,29.9,29.8,29.8,0.00
2010,8,21,90,83.1,79,79,78.0,75,94,85.3,70,17,6.1,1,29.8,29.1,0.0,0.00
2010,8,22,90,82.9,77,81,73.2,0,100,81.5,0,12,6.7,3,29.8,29.7,29.7,0.00
2010,8,23,93,80.5,73,82,77.0,72,100,90.1,63,29,5.9,0,29.8,29.7,29.6,0.00
2010,8,24,90,79.3,75,77,73.8,0,100,86.8,0,22,8.5,2,29.7,29.0,0.0,0.00
2010,8,25,86,80.4,75,81,77.3,73,100,90.5,74,16,12.2,8,29.7,29.7,29.6,0.00
2010,8,26,88,79.8,0,81,75.0,0,100,86.7,0,9,5.9,1,29.7,27.9,0.0,0.00
2010,8,27,82,78.6,75,79,77.0,75,100,94.8,84,15,7.2,0,29.7,29.1,0.0,0.00
2010,8,28,81,76.9,73,75,73.7,72,100,90.8,79,10,6.2,1,29.8,29.1,0.0,0.00
2010,8,29,84,78.3,75,77,73.1,0,100,88.3,0,7,4.0,0,29.8,29.8,29.7,0.00
2010,8,30,91,81.3,0,79,75.8,0,100,82.3,0,9,3.6,0,29.8,29.7,29.6,0.00
2010,8,31,93,84.4,79,81,79.4,77,100,85.2,63,8,4.3,0,29.7,29.6,29.6,0.00
2010,9,1,95,86.7,79,82,78.5,73,94,78.0,49,8,3.8,0,29.7,29.7,29.6,0.00
2010,9,2,95,86.3,81,81,78.2,68,94,78.2,41,12,5.2,0,29.8,29.7,29.6,0.00
2010,9,3,93,85.4,79,81,76.1,70,94,75.6,46,8,4.5,1,29.7,29.7,29.6,0.00
2010,9,4,93,86.4,81,81,77.6,73,89,76.2,52,6,3.3,0,29.7,29.6,29.6,0.00
2010,9,5,91,85.1,81,81,74.6,0,94,78.9,0,12,7.4,3,29.7,29.7,29.6,0.00
2010,9,6,90,84.3,81,81,79.7,79,94,85.8,70,12,7.4,3,29.7,29.7,29.6,0.00
